#
#
# US Geological Survey, Water Resources Data
# retrieved: 2022-11-17 19:12:49 EST      (sdww02)
#
# This file contains USGS Surface-Water Monthly Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd    agency code
# site_no USGS site number
# parameter_cd
# ts_id
# year_nu Calendar year for value
# month_nu     Month for value
# mean_va monthly-mean value.
#         if there is not complete record
#         for a month this field is blank
#
#
# Sites in this file include:
# USGS 14105700 COLUMBIA RIVER AT THE DALLES, OR
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		113459	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
5s	15s	5s	3n	4s	2s	12n
USGS	14105700	00060	113459	2008	1	146900
USGS	14105700	00060	113459	2008	2	134300
USGS	14105700	00060	113459	2008	3	142900
USGS	14105700	00060	113459	2008	4	161200
USGS	14105700	00060	113459	2008	5	308900
USGS	14105700	00060	113459	2008	6	360200
USGS	14105700	00060	113459	2008	7	206600
USGS	14105700	00060	113459	2008	8	131000
USGS	14105700	00060	113459	2008	9	93160
USGS	14105700	00060	113459	2008	10	96350
USGS	14105700	00060	113459	2008	11	120200
USGS	14105700	00060	113459	2008	12	135400
USGS	14105700	00060	113459	2009	1	178900
USGS	14105700	00060	113459	2009	2	131400
USGS	14105700	00060	113459	2009	3	137200
USGS	14105700	00060	113459	2009	4	231600
USGS	14105700	00060	113459	2009	5	276500
USGS	14105700	00060	113459	2009	6	287700
USGS	14105700	00060	113459	2009	7	164900
USGS	14105700	00060	113459	2009	8	119300
USGS	14105700	00060	113459	2009	9	82330
USGS	14105700	00060	113459	2009	10	90760
USGS	14105700	00060	113459	2009	11	118000
USGS	14105700	00060	113459	2009	12	134600
USGS	14105700	00060	113459	2010	1	119500
USGS	14105700	00060	113459	2010	2	118900
USGS	14105700	00060	113459	2010	3	112100
USGS	14105700	00060	113459	2010	4	133900
USGS	14105700	00060	113459	2010	5	205000
USGS	14105700	00060	113459	2010	6	338700
USGS	14105700	00060	113459	2010	7	188200
USGS	14105700	00060	113459	2010	8	125600
USGS	14105700	00060	113459	2010	9	88030
USGS	14105700	00060	113459	2010	10	103900
USGS	14105700	00060	113459	2010	11	126300
USGS	14105700	00060	113459	2010	12	140800
USGS	14105700	00060	113459	2011	1	204200
USGS	14105700	00060	113459	2011	2	215300
USGS	14105700	00060	113459	2011	3	228900
USGS	14105700	00060	113459	2011	4	301400
USGS	14105700	00060	113459	2011	5	395700
USGS	14105700	00060	113459	2011	6	487400
USGS	14105700	00060	113459	2011	7	329400
USGS	14105700	00060	113459	2011	8	199000
USGS	14105700	00060	113459	2011	9	123000
USGS	14105700	00060	113459	2011	10	120000
USGS	14105700	00060	113459	2011	11	134200
USGS	14105700	00060	113459	2011	12	141100
USGS	14105700	00060	113459	2012	1	148500
USGS	14105700	00060	113459	2012	2	145000
USGS	14105700	00060	113459	2012	3	208700
USGS	14105700	00060	113459	2012	4	335400
USGS	14105700	00060	113459	2012	5	358200
USGS	14105700	00060	113459	2012	6	352800
USGS	14105700	00060	113459	2012	7	327300
USGS	14105700	00060	113459	2012	8	203000
USGS	14105700	00060	113459	2012	9	118000
USGS	14105700	00060	113459	2012	10	97230
USGS	14105700	00060	113459	2012	11	134600
USGS	14105700	00060	113459	2012	12	182800
USGS	14105700	00060	113459	2013	1	184700
USGS	14105700	00060	113459	2013	2	145600
USGS	14105700	00060	113459	2013	3	133000
USGS	14105700	00060	113459	2013	4	237900
USGS	14105700	00060	113459	2013	5	293000
USGS	14105700	00060	113459	2013	6	248900
USGS	14105700	00060	113459	2013	7	210100
USGS	14105700	00060	113459	2013	8	152500
USGS	14105700	00060	113459	2013	9	101500
USGS	14105700	00060	113459	2013	10	110700
USGS	14105700	00060	113459	2013	11	118900
USGS	14105700	00060	113459	2013	12	130300
USGS	14105700	00060	113459	2014	1	131300
USGS	14105700	00060	113459	2014	2	124600
USGS	14105700	00060	113459	2014	3	232100
USGS	14105700	00060	113459	2014	4	246200
USGS	14105700	00060	113459	2014	5	314800
USGS	14105700	00060	113459	2014	6	280500
USGS	14105700	00060	113459	2014	7	214100
USGS	14105700	00060	113459	2014	8	149800
USGS	14105700	00060	113459	2014	9	92010
USGS	14105700	00060	113459	2014	10	94190
USGS	14105700	00060	113459	2014	11	128600
USGS	14105700	00060	113459	2014	12	164500
USGS	14105700	00060	113459	2015	1	196100
USGS	14105700	00060	113459	2015	2	236000
USGS	14105700	00060	113459	2015	3	199800
USGS	14105700	00060	113459	2015	4	178500
USGS	14105700	00060	113459	2015	5	185500
USGS	14105700	00060	113459	2015	6	154600
USGS	14105700	00060	113459	2015	7	131400
USGS	14105700	00060	113459	2015	8	134000
USGS	14105700	00060	113459	2015	9	95670
USGS	14105700	00060	113459	2015	10	92180
USGS	14105700	00060	113459	2015	11	125000
USGS	14105700	00060	113459	2015	12	133500
USGS	14105700	00060	113459	2016	1	145400
USGS	14105700	00060	113459	2016	2	169300
USGS	14105700	00060	113459	2016	3	207500
USGS	14105700	00060	113459	2016	4	280300
USGS	14105700	00060	113459	2016	5	250100
USGS	14105700	00060	113459	2016	6	196100
USGS	14105700	00060	113459	2016	7	152500
USGS	14105700	00060	113459	2016	8	126700
USGS	14105700	00060	113459	2016	9	90770
USGS	14105700	00060	113459	2016	10	110900
USGS	14105700	00060	113459	2016	11	141900
USGS	14105700	00060	113459	2016	12	154100
USGS	14105700	00060	113459	2017	1	173500
USGS	14105700	00060	113459	2017	2	217200
USGS	14105700	00060	113459	2017	3	352700
USGS	14105700	00060	113459	2017	4	390100
USGS	14105700	00060	113459	2017	5	418900
USGS	14105700	00060	113459	2017	6	368200
USGS	14105700	00060	113459	2017	7	183000
USGS	14105700	00060	113459	2017	8	128900
USGS	14105700	00060	113459	2017	9	108900
USGS	14105700	00060	113459	2017	10	92290
USGS	14105700	00060	113459	2017	11	119500
USGS	14105700	00060	113459	2017	12	150100
USGS	14105700	00060	113459	2018	1	196000
USGS	14105700	00060	113459	2018	2	237700
USGS	14105700	00060	113459	2018	3	200500
USGS	14105700	00060	113459	2018	4	272000
USGS	14105700	00060	113459	2018	5	450700
USGS	14105700	00060	113459	2018	6	275200
USGS	14105700	00060	113459	2018	7	171100
USGS	14105700	00060	113459	2018	8	133500
USGS	14105700	00060	113459	2018	9	93320
USGS	14105700	00060	113459	2018	10	90030
USGS	14105700	00060	113459	2018	11	126000
USGS	14105700	00060	113459	2018	12	123400

