#
#
# US Geological Survey, Water Resources Data
# retrieved: 2022-11-17 19:06:52 EST      (caww02)
#
# This file contains USGS Surface-Water Monthly Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd    agency code
# site_no USGS site number
# parameter_cd
# ts_id
# year_nu Calendar year for value
# month_nu     Month for value
# mean_va monthly-mean value.
#         if there is not complete record
#         for a month this field is blank
#
#
# Sites in this file include:
# USGS 13342500 CLEARWATER RIVER AT SPALDING ID
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		46589	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
5s	15s	5s	3n	4s	2s	12n
USGS	13342500	00060	46589	2010	1	4625
USGS	13342500	00060	46589	2010	2	3821
USGS	13342500	00060	46589	2010	3	4722
USGS	13342500	00060	46589	2010	4	11550
USGS	13342500	00060	46589	2010	5	21000
USGS	13342500	00060	46589	2010	6	38410
USGS	13342500	00060	46589	2010	7	16180
USGS	13342500	00060	46589	2010	8	12560
USGS	13342500	00060	46589	2010	9	6445
USGS	13342500	00060	46589	2010	10	3407
USGS	13342500	00060	46589	2010	11	4684
USGS	13342500	00060	46589	2010	12	5873
USGS	13342500	00060	46589	2011	1	18050
USGS	13342500	00060	46589	2011	2	16330
USGS	13342500	00060	46589	2011	3	25220
USGS	13342500	00060	46589	2011	4	37500
USGS	13342500	00060	46589	2011	5	41790
USGS	13342500	00060	46589	2011	6	54070
USGS	13342500	00060	46589	2011	7	31140
USGS	13342500	00060	46589	2011	8	16490
USGS	13342500	00060	46589	2011	9	7931
USGS	13342500	00060	46589	2011	10	4063
USGS	13342500	00060	46589	2011	11	3869
USGS	13342500	00060	46589	2011	12	3645
USGS	13342500	00060	46589	2012	1	4671
USGS	13342500	00060	46589	2012	2	7456
USGS	13342500	00060	46589	2012	3	20740
USGS	13342500	00060	46589	2012	4	44670
USGS	13342500	00060	46589	2012	5	34960
USGS	13342500	00060	46589	2012	6	34550
USGS	13342500	00060	46589	2012	7	18130
USGS	13342500	00060	46589	2012	8	12880
USGS	13342500	00060	46589	2012	9	5699
USGS	13342500	00060	46589	2012	10	3688
USGS	13342500	00060	46589	2012	11	5463
USGS	13342500	00060	46589	2012	12	6937
USGS	13342500	00060	46589	2013	1	6738
USGS	13342500	00060	46589	2013	2	6435
