#
#
# US Geological Survey, Water Resources Data
# retrieved: 2022-11-17 19:14:02 EST      (vaww01)
#
# This file contains USGS Surface-Water Monthly Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd    agency code
# site_no USGS site number
# parameter_cd
# ts_id
# year_nu Calendar year for value
# month_nu     Month for value
# mean_va monthly-mean value.
#         if there is not complete record
#         for a month this field is blank
#
#
# Sites in this file include:
# USGS 14103000 DESCHUTES RIVER AT MOODY, NEAR BIGGS, OR
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		113458	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
5s	15s	5s	3n	4s	2s	12n
USGS	14103000	00060	113458	2008	1	5345
USGS	14103000	00060	113458	2008	2	5643
USGS	14103000	00060	113458	2008	3	6017
USGS	14103000	00060	113458	2008	4	5849
USGS	14103000	00060	113458	2008	5	7621
USGS	14103000	00060	113458	2008	6	6671
USGS	14103000	00060	113458	2008	7	5317
USGS	14103000	00060	113458	2008	8	4840
USGS	14103000	00060	113458	2008	9	4777
USGS	14103000	00060	113458	2008	10	5070
USGS	14103000	00060	113458	2008	11	5511
USGS	14103000	00060	113458	2008	12	5413
USGS	14103000	00060	113458	2009	1	7077
USGS	14103000	00060	113458	2009	2	5758
USGS	14103000	00060	113458	2009	3	6198
USGS	14103000	00060	113458	2009	4	6373
USGS	14103000	00060	113458	2009	5	7487
USGS	14103000	00060	113458	2009	6	6088
USGS	14103000	00060	113458	2009	7	4878
USGS	14103000	00060	113458	2009	8	4752
USGS	14103000	00060	113458	2009	9	4658
USGS	14103000	00060	113458	2009	10	5194
USGS	14103000	00060	113458	2009	11	5306
USGS	14103000	00060	113458	2009	12	5273
USGS	14103000	00060	113458	2010	1	6488
USGS	14103000	00060	113458	2010	2	5995
USGS	14103000	00060	113458	2010	3	5521
USGS	14103000	00060	113458	2010	4	6898
USGS	14103000	00060	113458	2010	5	5881
USGS	14103000	00060	113458	2010	6	6766
USGS	14103000	00060	113458	2010	7	4841
USGS	14103000	00060	113458	2010	8	4620
USGS	14103000	00060	113458	2010	9	4990
USGS	14103000	00060	113458	2010	10	5494
USGS	14103000	00060	113458	2010	11	5506
USGS	14103000	00060	113458	2010	12	6924
USGS	14103000	00060	113458	2011	1	9105
USGS	14103000	00060	113458	2011	2	6627
USGS	14103000	00060	113458	2011	3	7278
USGS	14103000	00060	113458	2011	4	9211
USGS	14103000	00060	113458	2011	5	7645
USGS	14103000	00060	113458	2011	6	6425
USGS	14103000	00060	113458	2011	7	5286
USGS	14103000	00060	113458	2011	8	4937
USGS	14103000	00060	113458	2011	9	4677
USGS	14103000	00060	113458	2011	10	5067
