#
#
# US Geological Survey, Water Resources Data
# retrieved: 2022-11-17 19:14:47 EST      (vaww01)
#
# This file contains USGS Surface-Water Monthly Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd    agency code
# site_no USGS site number
# parameter_cd
# ts_id
# year_nu Calendar year for value
# month_nu     Month for value
# mean_va monthly-mean value.
#         if there is not complete record
#         for a month this field is blank
#
#
# Sites in this file include:
# USGS 14048000 JOHN DAY RIVER AT MCDONALD FERRY, OR
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		113351	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
5s	15s	5s	3n	4s	2s	12n
USGS	14048000	00060	113351	2008	1	839.8
USGS	14048000	00060	113351	2008	2	1577
USGS	14048000	00060	113351	2008	3	4119
USGS	14048000	00060	113351	2008	4	4613
USGS	14048000	00060	113351	2008	5	9643
USGS	14048000	00060	113351	2008	6	5273
USGS	14048000	00060	113351	2008	7	754.5
USGS	14048000	00060	113351	2008	8	170.3
USGS	14048000	00060	113351	2008	9	117.3
USGS	14048000	00060	113351	2008	10	308.7
USGS	14048000	00060	113351	2008	11	463.2
USGS	14048000	00060	113351	2008	12	462.5
USGS	14048000	00060	113351	2009	1	1318
USGS	14048000	00060	113351	2009	2	927.6
USGS	14048000	00060	113351	2009	3	2979
USGS	14048000	00060	113351	2009	4	6185
USGS	14048000	00060	113351	2009	5	6679
USGS	14048000	00060	113351	2009	6	2368
USGS	14048000	00060	113351	2009	7	420.9
USGS	14048000	00060	113351	2009	8	146.9
USGS	14048000	00060	113351	2009	9	75.3
USGS	14048000	00060	113351	2009	10	292.8
USGS	14048000	00060	113351	2009	11	413.8
USGS	14048000	00060	113351	2009	12	430.8
USGS	14048000	00060	113351	2010	1	1094
USGS	14048000	00060	113351	2010	2	1483
USGS	14048000	00060	113351	2010	3	1625
USGS	14048000	00060	113351	2010	4	3323
USGS	14048000	00060	113351	2010	5	4099
USGS	14048000	00060	113351	2010	6	6762
USGS	14048000	00060	113351	2010	7	781.7
USGS	14048000	00060	113351	2010	8	177.7
USGS	14048000	00060	113351	2010	9	176.1
USGS	14048000	00060	113351	2010	10	346.5
USGS	14048000	00060	113351	2010	11	618
USGS	14048000	00060	113351	2010	12	2413
USGS	14048000	00060	113351	2011	1	5053
USGS	14048000	00060	113351	2011	2	3096
USGS	14048000	00060	113351	2011	3	4754
USGS	14048000	00060	113351	2011	4	10080
USGS	14048000	00060	113351	2011	5	12320
USGS	14048000	00060	113351	2011	6	8913
USGS	14048000	00060	113351	2011	7	1867
USGS	14048000	00060	113351	2011	8	454.2
USGS	14048000	00060	113351	2011	9	251.1
USGS	14048000	00060	113351	2011	10	457.2
USGS	14048000	00060	113351	2011	11	516.3
USGS	14048000	00060	113351	2011	12	467.3
USGS	14048000	00060	113351	2012	1	1027
USGS	14048000	00060	113351	2012	2	1235
USGS	14048000	00060	113351	2012	3	3288
USGS	14048000	00060	113351	2012	4	7041
USGS	14048000	00060	113351	2012	5	4244
USGS	14048000	00060	113351	2012	6	1863
USGS	14048000	00060	113351	2012	7	571.3
USGS	14048000	00060	113351	2012	8	86.2
USGS	14048000	00060	113351	2012	9	53.9
