#
#
# US Geological Survey, Water Resources Data
# retrieved: 2022-11-17 19:11:53 EST      (vaww01)
#
# This file contains USGS Surface-Water Monthly Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd    agency code
# site_no USGS site number
# parameter_cd
# ts_id
# year_nu Calendar year for value
# month_nu     Month for value
# mean_va monthly-mean value.
#         if there is not complete record
#         for a month this field is blank
#
#
# Sites in this file include:
# USGS 14018500 WALLA WALLA RIVER NEAR TOUCHET, WA
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		150300	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
5s	15s	5s	3n	4s	2s	12n
USGS	14018500	00060	150300	2008	1	665.2
USGS	14018500	00060	150300	2008	2	1031
USGS	14018500	00060	150300	2008	3	1153
USGS	14018500	00060	150300	2008	4	814.3
USGS	14018500	00060	150300	2008	5	1664
USGS	14018500	00060	150300	2008	6	1064
USGS	14018500	00060	150300	2008	7	71.6
USGS	14018500	00060	150300	2008	8	20.8
USGS	14018500	00060	150300	2008	9	39.9
USGS	14018500	00060	150300	2008	10	45.6
USGS	14018500	00060	150300	2008	11	221.4
USGS	14018500	00060	150300	2008	12	534.5
USGS	14018500	00060	150300	2009	1	2258
USGS	14018500	00060	150300	2009	2	798.5
USGS	14018500	00060	150300	2009	3	2062
USGS	14018500	00060	150300	2009	4	2811
USGS	14018500	00060	150300	2009	5	1868
USGS	14018500	00060	150300	2009	6	366.9
USGS	14018500	00060	150300	2009	7	43.9
USGS	14018500	00060	150300	2009	8	32.7
USGS	14018500	00060	150300	2009	9	33.2
USGS	14018500	00060	150300	2009	10	112.1
USGS	14018500	00060	150300	2009	11	221.8
USGS	14018500	00060	150300	2009	12	471
USGS	14018500	00060	150300	2010	1	878.3
USGS	14018500	00060	150300	2010	2	765.2
USGS	14018500	00060	150300	2010	3	438.8
USGS	14018500	00060	150300	2010	4	701.9
USGS	14018500	00060	150300	2010	5	887.5
USGS	14018500	00060	150300	2010	6	1120
USGS	14018500	00060	150300	2010	7	51.8
USGS	14018500	00060	150300	2010	8	20.8
USGS	14018500	00060	150300	2010	9	72.5
USGS	14018500	00060	150300	2010	10	98
USGS	14018500	00060	150300	2010	11	286.4
USGS	14018500	00060	150300	2010	12	1335
USGS	14018500	00060	150300	2011	1	2274
USGS	14018500	00060	150300	2011	2	1099
USGS	14018500	00060	150300	2011	3	2084
USGS	14018500	00060	150300	2011	4	2372
USGS	14018500	00060	150300	2011	5	1748
USGS	14018500	00060	150300	2011	6	1275
USGS	14018500	00060	150300	2011	7	149
USGS	14018500	00060	150300	2011	8	43.8
USGS	14018500	00060	150300	2011	9	41.1
USGS	14018500	00060	150300	2011	10	56
USGS	14018500	00060	150300	2011	11	160.3
USGS	14018500	00060	150300	2011	12	381.2
USGS	14018500	00060	150300	2012	1	1009
USGS	14018500	00060	150300	2012	2	1366
USGS	14018500	00060	150300	2012	3	2131
USGS	14018500	00060	150300	2012	4	2313
USGS	14018500	00060	150300	2012	5	1006
USGS	14018500	00060	150300	2012	6	475.5
USGS	14018500	00060	150300	2012	7	108.1
USGS	14018500	00060	150300	2012	8	38.3
USGS	14018500	00060	150300	2012	9	32.9
USGS	14018500	00060	150300	2012	10	153.3
USGS	14018500	00060	150300	2012	11	535
USGS	14018500	00060	150300	2012	12	1037
USGS	14018500	00060	150300	2013	1	823.9
USGS	14018500	00060	150300	2013	2	907.9
USGS	14018500	00060	150300	2013	3	1225
USGS	14018500	00060	150300	2013	4	1675
USGS	14018500	00060	150300	2013	5	523
USGS	14018500	00060	150300	2013	6	165.9
USGS	14018500	00060	150300	2013	7	67
USGS	14018500	00060	150300	2013	8	39.3
USGS	14018500	00060	150300	2013	9	103.1
USGS	14018500	00060	150300	2013	10	98.8
USGS	14018500	00060	150300	2013	11	202.1
USGS	14018500	00060	150300	2013	12	685.7
USGS	14018500	00060	150300	2014	1	661.5
USGS	14018500	00060	150300	2014	2	1302
USGS	14018500	00060	150300	2014	3	2256
USGS	14018500	00060	150300	2014	4	1171
USGS	14018500	00060	150300	2014	5	587.5
USGS	14018500	00060	150300	2014	6	114.1
USGS	14018500	00060	150300	2014	7	34
USGS	14018500	00060	150300	2014	8	26.4
USGS	14018500	00060	150300	2014	9	32.4
USGS	14018500	00060	150300	2014	10	44.9
USGS	14018500	00060	150300	2014	11	227.3
USGS	14018500	00060	150300	2014	12	846.8
USGS	14018500	00060	150300	2015	1	1120
USGS	14018500	00060	150300	2015	2	1373
USGS	14018500	00060	150300	2015	3	597.5
USGS	14018500	00060	150300	2015	4	427.8
USGS	14018500	00060	150300	2015	5	129.9
USGS	14018500	00060	150300	2015	6	39.4
USGS	14018500	00060	150300	2015	7	8.69
USGS	14018500	00060	150300	2015	8	4.78
USGS	14018500	00060	150300	2015	9	23.9
USGS	14018500	00060	150300	2015	10	23.9
USGS	14018500	00060	150300	2015	11	129.5
USGS	14018500	00060	150300	2015	12	603.6
USGS	14018500	00060	150300	2016	1	970.5
USGS	14018500	00060	150300	2016	2	1293
USGS	14018500	00060	150300	2016	3	1598
USGS	14018500	00060	150300	2016	4	670.2
USGS	14018500	00060	150300	2016	5	285.4
USGS	14018500	00060	150300	2016	6	60.6
USGS	14018500	00060	150300	2016	7	49.6
USGS	14018500	00060	150300	2016	8	7.74
USGS	14018500	00060	150300	2016	9	35.4
USGS	14018500	00060	150300	2016	10	159.2
USGS	14018500	00060	150300	2016	11	304.3
USGS	14018500	00060	150300	2016	12	557.1
USGS	14018500	00060	150300	2017	1	668
USGS	14018500	00060	150300	2017	2	2093
USGS	14018500	00060	150300	2017	3	3437
USGS	14018500	00060	150300	2017	4	1478
USGS	14018500	00060	150300	2017	5	972.1
USGS	14018500	00060	150300	2017	6	253.1
USGS	14018500	00060	150300	2017	7	44.4
USGS	14018500	00060	150300	2017	8	24.6
USGS	14018500	00060	150300	2017	9	50.9
USGS	14018500	00060	150300	2017	10	96.2
USGS	14018500	00060	150300	2017	11	368.8
USGS	14018500	00060	150300	2017	12	930.5
USGS	14018500	00060	150300	2018	1	1836
USGS	14018500	00060	150300	2018	2	1799
USGS	14018500	00060	150300	2018	3	1310
USGS	14018500	00060	150300	2018	4	1794
USGS	14018500	00060	150300	2018	5	608.7
USGS	14018500	00060	150300	2018	6	126.5
USGS	14018500	00060	150300	2018	7	34.2
USGS	14018500	00060	150300	2018	8	20.5
USGS	14018500	00060	150300	2018	9	25
USGS	14018500	00060	150300	2018	10	64.3
USGS	14018500	00060	150300	2018	11	155
USGS	14018500	00060	150300	2018	12	566.9

