#
#
# US Geological Survey, Water Resources Data
# retrieved: 2022-11-17 19:17:44 EST      (caww02)
#
# This file contains USGS Surface-Water Monthly Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd    agency code
# site_no USGS site number
# parameter_cd
# ts_id
# year_nu Calendar year for value
# month_nu     Month for value
# mean_va monthly-mean value.
#         if there is not complete record
#         for a month this field is blank
#
#
# Sites in this file include:
# USGS 12510500 YAKIMA RIVER AT KIONA, WA
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		150108	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
5s	15s	5s	3n	4s	2s	12n
USGS	12510500	00060	150108	2008	1	2223
USGS	12510500	00060	150108	2008	2	2801
USGS	12510500	00060	150108	2008	3	3351
USGS	12510500	00060	150108	2008	4	2425
USGS	12510500	00060	150108	2008	5	6431
USGS	12510500	00060	150108	2008	6	3237
USGS	12510500	00060	150108	2008	7	1687
USGS	12510500	00060	150108	2008	8	1287
USGS	12510500	00060	150108	2008	9	1660
USGS	12510500	00060	150108	2008	10	2273
USGS	12510500	00060	150108	2008	11	3824
USGS	12510500	00060	150108	2008	12	2772
USGS	12510500	00060	150108	2009	1	6692
USGS	12510500	00060	150108	2009	2	2960
USGS	12510500	00060	150108	2009	3	3092
USGS	12510500	00060	150108	2009	4	4173
USGS	12510500	00060	150108	2009	5	7353
USGS	12510500	00060	150108	2009	6	5756
USGS	12510500	00060	150108	2009	7	1016
USGS	12510500	00060	150108	2009	8	1656
USGS	12510500	00060	150108	2009	9	2139
USGS	12510500	00060	150108	2009	10	2500
USGS	12510500	00060	150108	2009	11	3162
USGS	12510500	00060	150108	2009	12	2813
USGS	12510500	00060	150108	2010	1	3275
USGS	12510500	00060	150108	2010	2	3411
USGS	12510500	00060	150108	2010	3	3249
USGS	12510500	00060	150108	2010	4	2610
USGS	12510500	00060	150108	2010	5	3435
USGS	12510500	00060	150108	2010	6	5616
USGS	12510500	00060	150108	2010	7	1771
USGS	12510500	00060	150108	2010	8	1683
USGS	12510500	00060	150108	2010	9	2162
USGS	12510500	00060	150108	2010	10	2320
USGS	12510500	00060	150108	2010	11	2839
USGS	12510500	00060	150108	2010	12	2935
USGS	12510500	00060	150108	2011	1	6925
USGS	12510500	00060	150108	2011	2	5745
USGS	12510500	00060	150108	2011	3	4925
USGS	12510500	00060	150108	2011	4	8272
USGS	12510500	00060	150108	2011	5	9595
USGS	12510500	00060	150108	2011	6	8718
USGS	12510500	00060	150108	2011	7	3313
USGS	12510500	00060	150108	2011	8	1364
USGS	12510500	00060	150108	2011	9	1612
USGS	12510500	00060	150108	2011	10	2206
USGS	12510500	00060	150108	2011	11	2203
USGS	12510500	00060	150108	2011	12	2090
USGS	12510500	00060	150108	2012	1	3133
USGS	12510500	00060	150108	2012	2	4253
USGS	12510500	00060	150108	2012	3	5166
USGS	12510500	00060	150108	2012	4	9094
USGS	12510500	00060	150108	2012	5	10110
USGS	12510500	00060	150108	2012	6	7625
USGS	12510500	00060	150108	2012	7	2919
USGS	12510500	00060	150108	2012	8	1773
USGS	12510500	00060	150108	2012	9	1832
USGS	12510500	00060	150108	2012	10	2302
USGS	12510500	00060	150108	2012	11	3522
USGS	12510500	00060	150108	2012	12	3588
USGS	12510500	00060	150108	2013	1	2661
USGS	12510500	00060	150108	2013	2	3004
USGS	12510500	00060	150108	2013	3	4087
USGS	12510500	00060	150108	2013	4	5421
USGS	12510500	00060	150108	2013	5	7011
USGS	12510500	00060	150108	2013	6	3634
USGS	12510500	00060	150108	2013	7	1761
USGS	12510500	00060	150108	2013	8	2003
USGS	12510500	00060	150108	2013	9	2544
USGS	12510500	00060	150108	2013	10	2897
USGS	12510500	00060	150108	2013	11	2938
USGS	12510500	00060	150108	2013	12	3495
USGS	12510500	00060	150108	2014	1	3039
USGS	12510500	00060	150108	2014	2	2874
USGS	12510500	00060	150108	2014	3	6638
USGS	12510500	00060	150108	2014	4	6062
USGS	12510500	00060	150108	2014	5	5834
USGS	12510500	00060	150108	2014	6	3163
USGS	12510500	00060	150108	2014	7	1525
USGS	12510500	00060	150108	2014	8	1743
USGS	12510500	00060	150108	2014	9	2165
USGS	12510500	00060	150108	2014	10	2359
USGS	12510500	00060	150108	2014	11	3592
USGS	12510500	00060	150108	2014	12	5585
USGS	12510500	00060	150108	2015	1	6374
USGS	12510500	00060	150108	2015	2	7077
USGS	12510500	00060	150108	2015	3	5128
USGS	12510500	00060	150108	2015	4	2611
USGS	12510500	00060	150108	2015	5	1596
USGS	12510500	00060	150108	2015	6	837.2
USGS	12510500	00060	150108	2015	7	654
