#
#
# US Geological Survey, Water Resources Data
# retrieved: 2022-11-17 19:12:52 EST      (vaww01)
#
# This file contains USGS Surface-Water Monthly Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd    agency code
# site_no USGS site number
# parameter_cd
# ts_id
# year_nu Calendar year for value
# month_nu     Month for value
# mean_va monthly-mean value.
#         if there is not complete record
#         for a month this field is blank
#
#
# Sites in this file include:
# USGS 13344500 TUCANNON RIVER NEAR STARBUCK, WA
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		150225	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
5s	15s	5s	3n	4s	2s	12n
USGS	13344500	00060	150225	2008	1	129.7
USGS	13344500	00060	150225	2008	2	199.7
USGS	13344500	00060	150225	2008	3	249
USGS	13344500	00060	150225	2008	4	281.6
USGS	13344500	00060	150225	2008	5	685.9
USGS	13344500	00060	150225	2008	6	463
USGS	13344500	00060	150225	2008	7	106.5
USGS	13344500	00060	150225	2008	8	68
USGS	13344500	00060	150225	2008	9	65.7
USGS	13344500	00060	150225	2008	10	81.4
USGS	13344500	00060	150225	2008	11	97.2
USGS	13344500	00060	150225	2008	12	94.9
USGS	13344500	00060	150225	2009	1	379.7
USGS	13344500	00060	150225	2009	2	144.4
USGS	13344500	00060	150225	2009	3	387.5
USGS	13344500	00060	150225	2009	4	753.5
USGS	13344500	00060	150225	2009	5	628.5
USGS	13344500	00060	150225	2009	6	299
USGS	13344500	00060	150225	2009	7	106.7
USGS	13344500	00060	150225	2009	8	77.1
USGS	13344500	00060	150225	2009	9	72.5
USGS	13344500	00060	150225	2009	10	99.7
USGS	13344500	00060	150225	2009	11	107.5
USGS	13344500	00060	150225	2009	12	106.7
USGS	13344500	00060	150225	2010	1	165.5
USGS	13344500	00060	150225	2010	2	135.9
USGS	13344500	00060	150225	2010	3	127.8
USGS	13344500	00060	150225	2010	4	229.6
USGS	13344500	00060	150225	2010	5	263.4
USGS	13344500	00060	150225	2010	6	256.1
USGS	13344500	00060	150225	2010	7	85.9
USGS	13344500	00060	150225	2010	8	55.6
USGS	13344500	00060	150225	2010	9	69.4
USGS	13344500	00060	150225	2010	10	78.8
USGS	13344500	00060	150225	2010	11	85.5
USGS	13344500	00060	150225	2010	12	136.6
USGS	13344500	00060	150225	2011	1	277.9
USGS	13344500	00060	150225	2011	2	178.6
USGS	13344500	00060	150225	2011	3	339.6
USGS	13344500	00060	150225	2011	4	492.6
USGS	13344500	00060	150225	2011	5	473.9
USGS	13344500	00060	150225	2011	6	437.7
USGS	13344500	00060	150225	2011	7	148.7
USGS	13344500	00060	150225	2011	8	79.3
USGS	13344500	00060	150225	2011	9	75.5
USGS	13344500	00060	150225	2011	10	88.4
USGS	13344500	00060	150225	2011	11	97
USGS	13344500	00060	150225	2011	12	105.3
USGS	13344500	00060	150225	2012	1	197.1
USGS	13344500	00060	150225	2012	2	246.1
USGS	13344500	00060	150225	2012	3	466.8
USGS	13344500	00060	150225	2012	4	666.7
USGS	13344500	00060	150225	2012	5	394
