,S_U,S_L,R_L,R_U
0,0.0,235.49427850842858,3076.4764583144333,-0.0
1,0.0,-0.0,3076.4764583144333,2273.6587222079997
2,0.0,-0.0,4000.020713555571,2809.7923282559996
3,0.0,-0.0,7837.666376716799,6872.7448944
4,0.0,-0.0,13629.396929155198,12495.899807999998
5,0.0,-0.0,23381.018626464,22855.59579168
6,0.0,449.0001204711898,9737.400173241598,9627.793280639999
7,0.0,-0.0,7983.551670416789,7473.738170879999
8,0.0,449.00012047119,3447.2809439480097,3835.0511553599995
9,0.0,449.00012047119,2554.9757681127894,2027.3109831359998
10,0.0,-0.0,2920.7083151232,2787.180700032
11,0.0,-0.0,3164.99261685681,3494.6866463039996
12,0.0,-0.0,11784.6450917856,10740.5234064
13,0.0,-0.0,10397.897734521599,9717.049707839999
14,0.0,-0.0,16839.415076975998,15006.980626559998
15,0.0,-0.0,24478.575159599997,22314.106799999998
16,0.0,-0.0,25895.372180688,24866.84061792
17,0.0,-0.0,32514.7478304096,32173.96679136
18,0.0,-0.0,18648.2858306112,18529.63428672
19,0.0,-0.0,9888.184030924798,9812.256563519999
20,0.0,449.00012047119,4786.4056607424,4719.284827488
21,0.0,-0.0,2967.2214532071894,2417.6590914239996
22,0.0,449.00012047118963,1983.6540507224097,2302.220778912
23,0.0,261.01201037282345,2799.0028400775896,2168.93118096
24,0.0,-0.0,3076.476458314434,2779.445143008
25,0.0,-0.0,4473.565418308776,4436.639474688
26,0.0,-0.0,12600.151314969598,12341.188667519998
27,0.0,-0.0,26964.366657119997,26580.564020159996
28,0.0,-0.0,21279.8033216064,20802.69796608
29,0.0,-0.0,20923.789185648,20558.7303984
30,0.0,379.4728985847664,10895.4725640192,10788.12683424
31,0.0,-0.0,8094.203422904766,7664.151882239999
32,0.0,449.0001204711899,3076.4764583144333,3391.149190752
33,0.0,163.0679575920236,2727.1216640391895,2194.5180234239997
34,0.0,-0.0,3076.4764583144333,3250.719078624
35,0.0,-0.0,4241.974741867176,4127.812236576
36,0.0,-0.0,5139.920616739199,4009.3987098239995
37,0.0,-0.0,4446.7552031039995,3829.10072688
38,0.0,-0.0,7508.0126389248,5679.683984159999
39,0.0,-0.0,17288.136888652796,15340.204621439998
40,0.0,-0.0,21447.069866179198,20189.80383264
41,0.0,-0.0,12514.822170566398,11877.055246079999
42,0.0,449.0001204711898,8406.765356544,8223.49215936
43,0.0,-0.0,6689.869014579989,6158.693476799999
44,0.0,449.00012047119,3096.74120219121,3473.8601466239998
45,0.0,381.23881449915615,2807.0359185255898,2260.567779552
46,0.0,449.00012047119,2501.9907374007657,2445.6261052799996
47,0.0,330.0964850256234,3076.4764583144333,2877.0321700799996
48,0.0,-0.0,3076.4764583144333,2870.486698752
49,0.0,-0.0,4506.947322081576,4099.2501798719995
50,0.0,-0.0,21316.6959781824,19582.86012768
51,0.0,-0.0,23342.7573713376,21284.68267296
52,0.0,-0.0,25868.714261097597,25069.155186239997
53,0.0,-0.0,20152.9706803488,19761.37298208
54,0.0,-0.0,12034.325070806399,11877.055246079999
55,0.0,-0.0,6665.015436163199,6593.07475584
56,0.0,449.0001204711898,4421.465882064,4351.548347424
57,0.0,0.0,2721.82578269199,2168.336138112
58,0.0,-0.0,3519.22162427121,3745.199685312
59,0.0,-0.0,5077.500621984,4654.425157056
60,0.0,-0.0,6027.2485116768,5563.055585952
61,0.0,-0.0,12734.154964339199,11924.65867392
62,0.0,-0.0,11112.2466735456,10181.18312928
63,0.0,-0.0,13967.6192839584,13049.28965664
64,0.0,-0.0,13502.295776822399,13144.496512319998
65,0.0,-0.0,8085.561227193599,7908.119449919999
66,0.0,275.39990446956654,6763.673540361599,6676.380754559999
67,0.0,-0.0,4873.712520959166,4537.201716
68,0.0,449.00012047119,3076.4764583144333,3277.4960067839997
69,0.0,449.00012047119,2292.7403849991897,1737.52511616
70,0.0,-0.0,2917.792605168,2781.230271552
71,0.0,-0.0,3100.01393785521,3378.6532909439998
72,0.0,-0.0,4008.1491198431995,3683.9102719679995
73,0.0,-0.0,7490.994413472,6670.43032608
74,0.0,-0.0,13555.254590294398,12025.815958079998
75,0.0,-0.0,23723.8823154816,22986.50521824
76,0.0,-0.0,17926.3203431328,17512.11101664
77,0.0,-0.0,8533.509483168,8366.30244288
78,0.0,449.00012047119,7781.137306156799,7705.804881599999
79,0.0,449.00012047119,6721.7038069479895,6218.1977615999995
80,0.0,449.00012047119,3481.298182224,3425.066633088
81,0.0,449.00012047119,3122.7848663039995,3046.6193817599997
82,0.0,236.31773218082316,3957.8679991871995,3842.1916695359996
83,0.0,-0.0,3076.4764583144333,3028.173053472
84,0.0,-0.0,4715.271823166376,4411.647675071999
85,0.0,-0.0,12466.8617170176,11639.03810688
86,0.0,-0.0,30098.933371814397,29472.472261439998
87,0.0,-0.0,22817.989083686396,22349.809370879997
88,0.0,-0.0,22105.246760351998,21891.626377919998
89,0.0,-0.0,17068.387564886398,16964.67159648
90,0.0,449.0001204711898,8281.806358463999,8241.343444799999
91,0.0,-0.0,6979.452566987669,6497.867900159999
92,0.0,449.00012047119,3565.27794070641,3967.745710464
93,0.0,-0.0,3014.7058724775898,2505.13039008
94,0.0,-0.0,4156.15548877041,4505.069402208
95,0.0,-0.0,5820.530626281599,5609.468928095999
96,0.0,-0.0,8672.451988175999,8027.12801952
97,0.0,-0.0,18233.4219569856,17285.9947344
98,0.0,-0.0,16157.4364688832,14840.36862912
99,0.0,-0.0,19966.841277494397,19273.437846719997
100,0.0,-0.0,31062.248238441596,30757.764813119997
101,0.0,-0.0,14903.9192052864,14774.91391584
102,0.0,449.0001204711898,9346.6950392448,9276.71800032
103,0.0,-0.0,7490.975200842389,6997.70389248
104,0.0,449.00012047119,3137.2636201400096,3532.7693885759995
105,0.0,449.00012047119,2773.71351903759,2209.989137472
106,0.0,337.59402491042414,4050.3376577664,3877.894240416
107,0.0,153.41418903925745,3076.4764583144333,3006.1564680959996
108,0.0,-0.0,3076.4764583144333,3014.487067968
109,0.0,-0.0,5723.586003517542,3736.2740425919997
110,0.0,-0.0,10404.205188710399,6688.281611519999
111,0.0,-0.0,25987.960847836795,24503.864480639997
112,0.0,-0.0,24489.2264265792,23682.7053504
113,0.0,-0.0,14399.977417315198,14066.812926719998
114,0.0,449.0001204711899,8067.769446038399,7943.822020799999
115,0.0,139.94893963515653,7208.210839472789,6688.281611519999
116,0.0,449.00012047119,3936.8770610679658,4162.919764607999
117,0.0,404.2266810615663,3076.4764583144333,2633.659645248
118,0.0,2.2737367544323206e-13,3145.191764433576,2950.8174832319996
