#
#
# US Geological Survey, Water Resources Data
# retrieved: 2022-11-17 19:17:02 EST      (sdww02)
#
# This file contains USGS Surface-Water Monthly Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd    agency code
# site_no USGS site number
# parameter_cd
# ts_id
# year_nu Calendar year for value
# month_nu     Month for value
# mean_va monthly-mean value.
#         if there is not complete record
#         for a month this field is blank
#
#
# Sites in this file include:
# USGS 14033500 UMATILLA RIVER NEAR UMATILLA, OR
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		113294	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
5s	15s	5s	3n	4s	2s	12n
USGS	14033500	00060	113294	2008	1	351.5
USGS	14033500	00060	113294	2008	2	519.6
USGS	14033500	00060	113294	2008	3	964.7
USGS	14033500	00060	113294	2008	4	885
USGS	14033500	00060	113294	2008	5	1600
USGS	14033500	00060	113294	2008	6	804.4
USGS	14033500	00060	113294	2008	7	137.9
USGS	14033500	00060	113294	2008	8	121.8
USGS	14033500	00060	113294	2008	9	155.6
USGS	14033500	00060	113294	2008	10	221.6
USGS	14033500	00060	113294	2008	11	270.2
USGS	14033500	00060	113294	2008	12	292.6
USGS	14033500	00060	113294	2009	1	1138
USGS	14033500	00060	113294	2009	2	396.5
USGS	14033500	00060	113294	2009	3	1076
USGS	14033500	00060	113294	2009	4	2290
USGS	14033500	00060	113294	2009	5	1874
USGS	14033500	00060	113294	2009	6	248.3
USGS	14033500	00060	113294	2009	7	111.1
USGS	14033500	00060	113294	2009	8	110.9
USGS	14033500	00060	113294	2009	9	131.4
USGS	14033500	00060	113294	2009	10	203.2
USGS	14033500	00060	113294	2009	11	223.3
USGS	14033500	00060	113294	2009	12	249.1
USGS	14033500	00060	113294	2010	1	390.5
USGS	14033500	00060	113294	2010	2	358.1
