#
#
# US Geological Survey, Water Resources Data
# retrieved: 2022-11-17 19:17:26 EST      (vaww01)
#
# This file contains USGS Surface-Water Monthly Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd    agency code
# site_no USGS site number
# parameter_cd
# ts_id
# year_nu Calendar year for value
# month_nu     Month for value
# mean_va monthly-mean value.
#         if there is not complete record
#         for a month this field is blank
#
#
# Sites in this file include:
# USGS 12472800 COLUMBIA RIVER BELOW PRIEST RAPIDS DAM, WA
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		149896	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
5s	15s	5s	3n	4s	2s	12n
USGS	12472800	00060	149896	2008	1	108600
USGS	12472800	00060	149896	2008	2	91500
USGS	12472800	00060	149896	2008	3	83700
USGS	12472800	00060	149896	2008	4	90580
USGS	12472800	00060	149896	2008	5	170000
USGS	12472800	00060	149896	2008	6	219800
USGS	12472800	00060	149896	2008	7	143100
USGS	12472800	00060	149896	2008	8	85760
USGS	12472800	00060	149896	2008	9	61180
USGS	12472800	00060	149896	2008	10	65440
USGS	12472800	00060	149896	2008	11	81180
USGS	12472800	00060	149896	2008	12	100200
USGS	12472800	00060	149896	2009	1	113700
USGS	12472800	00060	149896	2009	2	85280
USGS	12472800	00060	149896	2009	3	71870
USGS	12472800	00060	149896	2009	4	113000
USGS	12472800	00060	149896	2009	5	128200
USGS	12472800	00060	149896	2009	6	156600
USGS	12472800	00060	149896	2009	7	105100
USGS	12472800	00060	149896	2009	8	77240
USGS	12472800	00060	149896	2009	9	56720
USGS	12472800	00060	149896	2009	10	60870
USGS	12472800	00060	149896	2009	11	84060
USGS	12472800	00060	149896	2009	12	99860
USGS	12472800	00060	149896	2010	1	75520
USGS	12472800	00060	149896	2010	2	74780
USGS	12472800	00060	149896	2010	3	68490
USGS	12472800	00060	149896	2010	4	75940
USGS	12472800	00060	149896	2010	5	118300
USGS	12472800	00060	149896	2010	6	187600
USGS	12472800	00060	149896	2010	7	129600
USGS	12472800	00060	149896	2010	8	86100
USGS	12472800	00060	149896	2010	9	57700
USGS	12472800	00060	149896	2010	10	73060
USGS	12472800	00060	149896	2010	11	90360
USGS	12472800	00060	149896	2010	12	92510
USGS	12472800	00060	149896	2011	1	121400
USGS	12472800	00060	149896	2011	2	143700
USGS	12472800	00060	149896	2011	3	129400
USGS	12472800	00060	149896	2011	4	153200
USGS	12472800	00060	149896	2011	5	218300
USGS	12472800	00060	149896	2011	6	290600
USGS	12472800	00060	149896	2011	7	220900
USGS	12472800	00060	149896	2011	8	146300
USGS	12472800	00060	149896	2011	9	78470
USGS	12472800	00060	149896	2011	10	80520
USGS	12472800	00060	149896	2011	11	95240
USGS	12472800	00060	149896	2011	12	102400
USGS	12472800	00060	149896	2012	1	97090
USGS	12472800	00060	149896	2012	2	88180
USGS	12472800	00060	149896	2012	3	121400
USGS	12472800	00060	149896	2012	4	178100
USGS	12472800	00060	149896	2012	5	226800
USGS	12472800	00060	149896	2012	6	251700
USGS	12472800	00060	149896	2012	7	271300
USGS	12472800	00060	149896	2012	8	160100
USGS	12472800	00060	149896	2012	9	82020
USGS	12472800	00060	149896	2012	10	65970
USGS	12472800	00060	149896	2012	11	93610
USGS	12472800	00060	149896	2012	12	132700
USGS	12472800	00060	149896	2013	1	139100
USGS	12472800	00060	149896	2013	2	95710
USGS	12472800	00060	149896	2013	3	78400
USGS	12472800	00060	149896	2013	4	154700
USGS	12472800	00060	149896	2013	5	190700
USGS	12472800	00060	149896	2013	6	181000
USGS	12472800	00060	149896	2013	7	164800
USGS	12472800	00060	149896	2013	8	117700
USGS	12472800	00060	149896	2013	9	71110
USGS	12472800	00060	149896	2013	10	70730
USGS	12472800	00060	149896	2013	11	89590
USGS	12472800	00060	149896	2013	12	97650
USGS	12472800	00060	149896	2014	1	99360
USGS	12472800	00060	149896	2014	2	76560
USGS	12472800	00060	149896	2014	3	124800
USGS	12472800	00060	149896	2014	4	148400
USGS	12472800	00060	149896	2014	5	196300
USGS	12472800	00060	149896	2014	6	187200
USGS	12472800	00060	149896	2014	7	161700
USGS	12472800	00060	149896	2014	8	117000
USGS	12472800	00060	149896	2014	9	66270
USGS	12472800	00060	149896	2014	10	70430
USGS	12472800	00060	149896	2014	11	93660
USGS	12472800	00060	149896	2014	12	114900
USGS	12472800	00060	149896	2015	1	139200
USGS	12472800	00060	149896	2015	2	155700
USGS	12472800	00060	149896	2015	3	140700
USGS	12472800	00060	149896	2015	4	118200
USGS	12472800	00060	149896	2015	5	124600
USGS	12472800	00060	149896	2015	6	119000
USGS	12472800	00060	149896	2015	7	106200
USGS	12472800	00060	149896	2015	8	110100
USGS	12472800	00060	149896	2015	9	73780
USGS	12472800	00060	149896	2015	10	72040
USGS	12472800	00060	149896	2015	11	95330
USGS	12472800	00060	149896	2015	12	94110
USGS	12472800	00060	149896	2016	1	101300
USGS	12472800	00060	149896	2016	2	107000
USGS	12472800	00060	149896	2016	3	120800
USGS	12472800	00060	149896	2016	4	166100
USGS	12472800	00060	149896	2016	5	146300
USGS	12472800	00060	149896	2016	6	136300
USGS	12472800	00060	149896	2016	7	116700
USGS	12472800	00060	149896	2016	8	99150
USGS	12472800	00060	149896	2016	9	68510
USGS	12472800	00060	149896	2016	10	80860
USGS	12472800	00060	149896	2016	11	107900
USGS	12472800	00060	149896	2016	12	122300
USGS	12472800	00060	149896	2017	1	131800
USGS	12472800	00060	149896	2017	2	123100
USGS	12472800	00060	149896	2017	3	163500
USGS	12472800	00060	149896	2017	4	214500
USGS	12472800	00060	149896	2017	5	250600
USGS	12472800	00060	149896	2017	6	231900
USGS	12472800	00060	149896	2017	7	128800
USGS	12472800	00060	149896	2017	8	94610
USGS	12472800	00060	149896	2017	9	76850
USGS	12472800	00060	149896	2017	10	62070
USGS	12472800	00060	149896	2017	11	79650
USGS	12472800	00060	149896	2017	12	102100
USGS	12472800	00060	149896	2018	1	128200
USGS	12472800	00060	149896	2018	2	156000
USGS	12472800	00060	149896	2018	3	119600
USGS	12472800	00060	149896	2018	4	151800
USGS	12472800	00060	149896	2018	5	302200
USGS	12472800	00060	149896	2018	6	186800
USGS	12472800	00060	149896	2018	7	127500
USGS	12472800	00060	149896	2018	8	100500
USGS	12472800	00060	149896	2018	9	66140
USGS	12472800	00060	149896	2018	10	66290
USGS	12472800	00060	149896	2018	11	96810
USGS	12472800	00060	149896	2018	12	90850

